Genre,Title
Drama,The Godfather
Comedy,The 40-Year-Old-Virgin
Romance,The Notebook
Fiction,Inception
Drama,Fight Club
Drama,Forrest Gump
Sci-fi,The Matrix
Comedy,Zoolander
Romance,Pride and Prejudice
Drama,Pulp Fiction
Sci-fi,Star Wars: A New Hope
Action,Gladiator
Drama,Inglourious Basterds
Horror,The Silence Of The Lambs
Comedy,Bridesmaids
Romance,Pride and Prejudice
Drama,Saving Private Ryan
Drama,Titanic
Sci-fi,A Clockwork Orange
Fantasy,Avengers: Endgame
Drama,Joker
Comedy,Life is Beautiful
Comedy,Step Brothers
Comedy,Dumb and Dumber
Action,Mad Max: Fury Road
Drama,Citizen Kane
Comedy,The Big Lebowski
Animation,Toy Story
Fiction,Blade Runner 2049
Drama,The Wolf of Wall Street
Drama,Schindler's List
Romance,Love Actually
Romance,The Princess Bride
Sci-fi,Jurassic Park
Comedy,The Hangover
Horror,Pyscho
Drama,Braveheart
Animation,Finding Nemo
Sci-fi,Back to the Future
Horror,The Exorcist
Drama,Casablanca
Horror,The Shining
Comedy,Monty Python and the Holy Grail
Action,The Dark Knight
Romance,Pretty Woman
Drama,City of God
Comedy,Superbad
Comedy,Tropic Tunder
Comedy,Zoolander
Comedy,Bridesmaids
Romance,Pride and Prejudice
Romance,Notting Hill
Romance,The Fault in Our Stars
Romance,Slepless in Seattle